map_details,youtube_video_link
"(""9%C2%B048'21.4%22N 76%C2%B026'02.1%22E"", 9.80586, 76.4336397)",https://www.youtube.com/embed/4dxHWCdz2FI
"(""8%C2%B030'09.9%22N 76%C2%B055'10.9%22E"", 8.5027454, 76.9175049)",https://www.youtube.com/embed/Op7SZ2KgvO8
"('G697%2BVVG Chettiyangadi Hanafi Juma Masjid, Post Office Rd, Chettiyangadi, Veliyannur, Thrissur, Kerala 680001', None, None)",https://www.youtube.com/embed/n4j4UUkAzuw
"('B C AVIL MILKS', 10.5949184, 76.0350667)",https://www.youtube.com/embed/qlCAVxc_PVk
"('Haji Ali Juice Centre %7C Mumbai Haji Ali -Original Store 1960 in Panampilly Nagar,Kochi', 9.9639761, 76.294924)",https://www.youtube.com/embed/KrhM3ZD74F0
"('Aram Vada Pav', 18.9395348, 72.8344838)",https://www.youtube.com/embed/9r2PtOO6JQY
"(""Jaffer Bhai's Delhi Darbar"", 18.9428089, 72.82702)",https://www.youtube.com/embed/q-XvXovDcmk
"('Famous Restaurant', 18.9548462, 72.8332462)",https://www.youtube.com/embed/ZuxaptOFs0Q
"('MN Thaninadan Pazhankanji Kada ( MN %E0%B4%A4%E0%B4%A8%E0%B4%BF%E0%B4%A8%E0%B4%BE%E0%B4%9F%E0%B5%BB %E0%B4%AA%E0%B4%B4%E0%B4%99%E0%B5%8D%E0%B4%95%E0%B4%9E%E0%B5%8D%E0%B4%9E%E0%B4%BF%E0%B4%95%E0%B4%9F)', 10.1392455, 76.2455584)",https://www.youtube.com/embed/ean2sEZszuI
"('THE MILLER', 10.0193525, 76.2920382)",https://www.youtube.com/embed/6jc1YQPB3TY
"('KALIYUGA Toddy Cafe', 13.3592695, 74.698418)",https://www.youtube.com/embed/FwlaWQJ7HyY
"('Machali Udupi', 13.3368506, 74.7400509)",https://www.youtube.com/embed/ditmaC5xxbc
"('George Restaurant %26 Bar', 15.4988201, 73.8287745)",https://www.youtube.com/embed/n1b2QZXxwZ0
"('Teja sea Food Restaurant', 15.6004957, 73.7524277)",https://www.youtube.com/embed/dBP37HZp3-s
"('Padipura Toddy Shop', 9.8884081, 76.3703324)",https://www.youtube.com/embed/2iuF7u8Nt1Y
"('Baji%E2%80%99s tattukada', 10.203985, 76.4165333)",https://www.youtube.com/embed/YitU8hVOHv4
"('Anand Dum Biriyani', 13.0721925, 77.7828484)",https://www.youtube.com/embed/rNqYRtsv_-g
"('National Hotel', 11.7537086, 75.4844977)",https://www.youtube.com/embed/W5VdLBqmlb4
"('Kuchill', 12.5053501, 74.9924816)",https://www.youtube.com/embed/U9rO8SxTfqU
"('KV Store Chemnad - Fire Soda', 12.4943291, 74.9998381)",https://www.youtube.com/embed/7s7X-WO_zvw
"('Janatha Lunch Home - Sea Food Restaurant', 12.8659876, 74.8555134)",https://www.youtube.com/embed/YphX3qMl8Sw
"('Al Majlis Restaurant Mogral', 12.5689167, 74.9524594)",https://www.youtube.com/embed/ct6-UrsE4tE
"('H267%2B348 Kollya Thattukada, Madhur, Kerala 671124', None, None)",https://www.youtube.com/embed/r3kngeHPxb4
"('Soofi Mandi', 11.2552091, 75.7732272)",https://www.youtube.com/embed/C7Tmet6WQZs
"('Hotel Star', 9.88783, 76.2982632)",https://www.youtube.com/embed/PFt9xgU97l8
"('Haji Ebrahim', 9.9897365, 76.2949089)",https://www.youtube.com/embed/0ttBBFmX9co
"('Nettoor Toddy Shop, near Nettor Palli, Nettor Palli, Nettoor, Maradu, Ernakulam, Kerala 682040', None, None)",https://www.youtube.com/embed/mp9DTjlzwkw
"('Sehiyon Oottusala', 9.9823019, 76.2848548)",https://www.youtube.com/embed/cYWnPkY2sGI
"('Noushad hotel', 10.1086781, 76.4280683)",https://www.youtube.com/embed/CCduD49RvEc
"('Marina The Sea Face Restaurant, Municipal Building, River Rd, near Jankar Jetty, Fort Kochi, Kochi, Kerala 682001', None, None)",https://www.youtube.com/embed/BOGhnx5R36Q
"(""Ravi Chettan's Fast Food Shop"", 10.1016204, 76.5405722)",https://www.youtube.com/embed/1OW9PcLrIW4
"(""10%C2%B004'00.2%22N 76%C2%B037'50.1%22E"", 10.0667271, 76.6283992)",https://www.youtube.com/embed/VPZmIM9IJLk
"('Theeradhesha pazhakanji kada, Kodungallur Eriyad Rd, Arattuvazhy, Kerala 680666', None, None)",https://www.youtube.com/embed/wfux0E_xdCg
"('Pathummas Thattukada, said, Sayed Mohammed Rd, Edavanakkad, Kerala 682502', None, None)",https://www.youtube.com/embed/wt0zN8FiFaE
"('Shalom Sadan, NH 66, Perinjanam, Kerala 680686', None, None)",https://www.youtube.com/embed/TubIZuWzO34
"('Neythal Sea Food', 10.2138968, 76.2316217)",https://www.youtube.com/embed/4Soyd7gA66A
"('Dharmettante Chayakada', 10.30848, 76.180525)",https://www.youtube.com/embed/u1mpv751iAw
"('Salkara Dum Biriyani', 9.1344286, 76.5128994)",https://www.youtube.com/embed/xGrCZ-JR1jU
"('DHABA CHAI', 9.5192101, 76.3277103)",https://www.youtube.com/embed/vZEI8XtZ3qg
"(""Queen's Catering"", 9.4549206, 76.5427557)",https://www.youtube.com/embed/2CGasLc1GAQ
"('Saleemkkante Biriyanikkada (%E0%B4%B8%E0%B4%B2%E0%B5%80%E0%B4%82%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B4%BE%E0%B5%BB%E0%B4%B1%E0%B5%86 %E0%B4%AC%E0%B4%BF%E0%B4%B0%E0%B4%BF%E0%B4%AF%E0%B4%BE%E0%B4%A3%E0%B4%BF%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B4%9F)', 9.4979418, 76.332119)",https://www.youtube.com/embed/BMxNto44ACk
"('HOTEL KUDAMPULI', 9.6902166, 76.3450446)",https://www.youtube.com/embed/ssKsNGJOJDo
"('MGM NSS HSS LAKKATTOOR', 9.6170866, 76.643758)",https://www.youtube.com/embed/pbdMMSNnIFs
"('Vadakkini Veg Restaurant %26 Take Away', 9.5904465, 76.5173999)",https://www.youtube.com/embed/0UniI1wnpd0
"('Koolimad poratta kada', 11.2710482, 75.9755631)",https://www.youtube.com/embed/1DUXAJEIUhY
"('Ajwa Thalassery Dum Biryani Restaurant', 11.8733976, 75.3894638)",https://www.youtube.com/embed/L4I6ZKcp1BM
"('Petstation kannur', 11.9725948, 75.2772796)",https://www.youtube.com/embed/k3sk0rn9GRM
"('Karthika mess house', 11.3229016, 75.7448994)",https://www.youtube.com/embed/Xe6FoUn4X-o
"('SH 71, Kerala 676503', None, None)",https://www.youtube.com/embed/eLPbHMzk_wA
"('Hotel New Badariya', 10.8488753, 75.9421848)",https://www.youtube.com/embed/qJfBlnzC2zA
"(""10%C2%B028'06.6%22N 76%C2%B009'17.9%22E"", 10.4684567, 76.1549101)",https://www.youtube.com/embed/4l4ws4Nx5nk
"('Vahabikkade Kada', 9.3872541, 76.3506366)",https://www.youtube.com/embed/kajgXSpEO2o
"(""9%C2%B040'57.8%22N 76%C2%B025'13.3%22E"", 9.6827195, 76.418171)",https://www.youtube.com/embed/y8LD7qf_EAQ
"('Kaduk Restaurant', 9.973455, 76.2944459)",https://www.youtube.com/embed/HMTJmT9CaW8
"('DARBAR SEAFOOD RESTAURANT', 9.9228989, 76.3146079)",https://www.youtube.com/embed/QtHp_-SRPIE
"('The Porotta House', 9.5760353, 76.5196306)",https://www.youtube.com/embed/POPhjVpxLxc
"('Sambhu Sankaran Hotel.', 8.5878383, 77.0932588)",https://www.youtube.com/embed/un7yvV4R5tI
"('Billu Dhaba, Pathara By Pass Nh 16 Near Gati Transport Dura, Odisha 760007', None, None)",https://www.youtube.com/embed/XTRbqzxI_58
"('Biswa Bangla Gate', 22.5788089, 88.471748)",https://www.youtube.com/embed/cLqtubb0GE0
"('Paramount Cold drinks %26 Syrups', 22.5741373, 88.3645418)",https://www.youtube.com/embed/mGuRcMRtytI
"('Lucknow Biryani centre', 10.0124085, 76.325922)",https://www.youtube.com/embed/oBLwacDTPDM
"('Chittaranjan Mistanna Bhandar Pvt. Ltd.', 22.5985926, 88.3669478)",https://www.youtube.com/embed/nRw5znw_IbI
"('Krishna Hotel', 19.8896066, 85.8138496)",https://www.youtube.com/embed/D1BPp9eampk
"('Krishna Hotel', 19.8896066, 85.8138496)",https://www.youtube.com/embed/EnwtrhMV87Y
"('Kuna Tuna Dahibara Stall', 20.4822622, 85.8680932)",https://www.youtube.com/embed/ANVW8cgD5zs
"('Hotel Mahabir Galaxy, Banquet Hall (Weddingz.in Partner)', 20.4632446, 85.8833566)",https://www.youtube.com/embed/1fCMSEbCSPs
"('Hotel Mahabir Galaxy, Banquet Hall (Weddingz.in Partner)', 20.4632446, 85.8833566)",https://www.youtube.com/embed/H3tvNASbAlM
"('Pahala, Odisha 754001', 20.3481276, 85.8814573)",https://www.youtube.com/embed/tOAJ8v7b7t4
"('Pidha Hotel Brahmapur', 19.3139161, 84.7821677)",https://www.youtube.com/embed/B5szGEZuoUY
"('SREENIVASA REDDY NEW PANJHABI FAMILY DHABA', 13.6560013, 79.5496139)",https://www.youtube.com/embed/kU2blKjENGc
